roll_no,county,lat2,long2
13758K,Mayo,54.2334,-9.25711
13773G,Mayo,53.7837,-9.06044
13781F,Mayo,53.8475,-9.23766
13797U,Mayo,53.7788,-9.68797
13882L,Mayo,54.2425,-9.64962
14064F,Mayo,53.7605,-9.3632
14188A,Mayo,54.2226,-9.85102
14193Q,Mayo,54.0749,-9.92824
14205U,Mayo,53.759,-9.11608
14258S,Mayo,54.204,-10.0378
14290O,Mayo,54.2785,-9.37106
14400S,Mayo,54.0781,-9.37285
14418O,Mayo,54.0906,-9.06832
14497N,Mayo,53.8521,-9.35668
14534Q,Mayo,53.549,-9.15328
14671D,Mayo,54.2756,-9.25664
14808E,Mayo,53.6624,-8.88963
14863M,Mayo,53.9287,-9.92809
14865Q,Mayo,54.0582,-9.40915
14866S,Mayo,53.9952,-9.94942
14873P,Mayo,53.9747,-10.0442
15007V,Mayo,53.6945,-9.27688
15014S,Mayo,54.2543,-10.0395
15030Q,Mayo,53.8257,-8.81976
15032U,Mayo,54.3115,-9.81806
15113U,Mayo,53.9181,-8.86646
15257V,Mayo,54.1316,-9.12992
15539I,Mayo,53.7123,-8.78985
15555G,Mayo,54.0853,-9.10481
15866A,Mayo,53.7047,-9.56494
15967G,Mayo,53.9203,-9.25647
15996N,Mayo,53.9839,-9.32338
16021U,Mayo,54.0259,-9.15425
16052I,Mayo,53.9501,-9.94271
16113C,Mayo,53.9525,-9.85349
16122D,Mayo,53.7923,-8.92378
16170O,Mayo,54.0569,-9.21327
16173U,Mayo,53.8979,-8.97616
16269K,Mayo,53.9825,-8.95759
16283E,Mayo,54.265,-9.79727
16289Q,Mayo,53.9999,-8.97923
16295L,Mayo,53.9512,-9.94236
16379R,Mayo,54.0078,-9.97617
16562I,Mayo,54.1326,-9.1945
16618J,Mayo,53.842,-9.57258
16630W,Mayo,54.1444,-9.03733
16756V,Mayo,53.8271,-8.7631
16780S,Mayo,53.953,-8.89189
16811D,Mayo,54.2138,-9.22499
16832L,Mayo,53.7797,-9.64007
16904K,Mayo,53.7565,-9.51063
16911H,Mayo,54.0316,-9.31793
16984L,Mayo,53.5243,-9.09079
17039V,Mayo,53.6875,-9.61113
17082W,Mayo,53.6386,-9.10499
17098O,Mayo,54.1246,-9.23221
17119T,Mayo,53.7989,-9.12896
17129W,Mayo,54.1397,-9.29175
17176I,Mayo,53.9055,-9.78846
17209U,Mayo,54.1668,-9.21123
17301I,Mayo,53.701,-9.07842
17321O,Mayo,53.8838,-9.4973
17482P,Mayo,53.76,-9.22682
17483R,Mayo,53.8145,-9.59065
17532E,Mayo,54.0289,-9.82757
17562N,Mayo,53.8184,-9.38612
17585C,Mayo,53.8054,-9.2174
17615I,Mayo,53.483,-9.17631
17678J,Mayo,53.8328,-9.18348
17682A,Mayo,53.8203,-9.45827
17727T,Mayo,54.2248,-9.99091
17874J,Mayo,53.5092,-9.16849
17922R,Mayo,53.589,-9.02935
17923T,Mayo,54.2249,-9.9914
18002D,Mayo,53.9837,-9.82048
18003F,Mayo,53.961,-8.79881
18070U,Mayo,53.7295,-9.00231
18082E,Mayo,53.9727,-10.1154
18145C,Mayo,53.8739,-8.85381
18175L,Mayo,54.2642,-9.22601
18503C,Mayo,53.796,-9.26357
18506I,Mayo,54.116,-9.15573
18542M,Mayo,53.8588,-9.3007
18561Q,Mayo,54.0875,-9.16666
18562S,Mayo,53.9086,-9.19778
18594I,Mayo,54.2468,-9.94926
18694M,Mayo,53.8548,-9.29451
18712L,Mayo,53.7823,-9.44328
18754E,Mayo,53.9689,-9.98268
18818E,Mayo,53.8473,-9.41275
18848N,Mayo,53.9295,-9.12561
18876S,Mayo,53.5576,-9.06916
18880J,Mayo,53.6312,-9.02773
18922W,Mayo,53.6134,-9.27325
19324H,Mayo,53.7165,-9.87344
19394F,Mayo,53.681,-9.14876
19402B,Mayo,53.8872,-9.15374
19451O,Mayo,53.8869,-9.54271
19488O,Mayo,54.0501,-9.08221
19651W,Mayo,53.9561,-8.70245
19710M,Mayo,53.7669,-8.9715
19776T,Mayo,54.114,-9.90218
19798G,Mayo,53.9639,-8.62661
19808G,Mayo,53.8781,-8.7758
19812U,Mayo,53.9799,-9.109
19832D,Mayo,53.8583,-9.28996
19903A,Mayo,53.8455,-8.99616
19911W,Mayo,53.5824,-9.12185
19914F,Mayo,53.8998,-9.05848
19915H,Mayo,53.7234,-8.9993
19916J,Mayo,53.8698,-9.32426
19951L,Mayo,53.9433,-8.95235
19972T,Mayo,53.7481,-8.93768
20037L,Mayo,53.7632,-9.79969
20046M,Mayo,53.8066,-9.50518
20084U,Mayo,54.131,-9.16557
20089H,Mayo,53.6226,-9.21547
20125I,Mayo,54.0978,-9.3179
20142I,Mayo,53.7613,-8.7642
20217N,Mayo,54.2044,-9.30551
20230F,Mayo,53.7987,-9.51499
20256A,Mayo,53.6624,-9.35436
20275E,Mayo,54.1161,-9.16347
20431P,Mayo,51.2181,-10.8631
00883P,Meath,53.6509,-6.68497
00885T,Meath,53.5029,-6.46545
01309L,Meath,53.7104,-6.62019
01421F,Meath,53.6937,-6.99518
02905J,Meath,53.4439,-6.80255
03275H,Meath,53.8201,-6.60707
04210H,Meath,53.5604,-6.66241
05062A,Meath,53.7245,-6.86631
05630L,Meath,53.5511,-6.79096
07120V,Meath,53.4858,-7.00156
09238I,Meath,53.7318,-7.02769
10801Q,Meath,53.726,-6.93983
11039O,Meath,53.7909,-6.80214
11978O,Meath,53.7188,-7.17138
12068D,Meath,53.7247,-6.86845
12488C,Meath,53.7689,-7.15726
12788O,Meath,53.6458,-6.6851
12897T,Meath,53.8258,-6.87825
13775K,Meath,53.5587,-6.79113
14348T,Meath,53.8744,-6.76349
15104T,Meath,53.6214,-6.66503
15483H,Meath,53.7415,-6.65322
16067V,Meath,53.4518,-7.02338
16100Q,Meath,53.6501,-6.68675
16143L,Meath,53.8529,-6.65843
16549Q,Meath,53.668,-6.4985
16646O,Meath,53.551,-6.79168
16655P,Meath,53.4529,-6.91852
16722E,Meath,53.7239,-6.86892
16774A,Meath,53.8224,-6.74575
16790V,Meath,53.5438,-6.61654
16825O,Meath,53.4501,-6.39316
16991I,Meath,53.7505,-6.95367
17029S,Meath,53.5741,-6.44455
17088L,Meath,53.6144,-6.85989
17123K,Meath,53.8473,-6.80445
17162U,Meath,53.6846,-6.85353
17175G,Meath,53.6535,-6.78865
17203I,Meath,53.7084,-6.74852
17213L,Meath,53.7917,-6.89037
17220I,Meath,53.8857,-6.72499
17312N,Meath,53.4895,-6.60544
17480L,Meath,53.6329,-6.52313
17494W,Meath,53.6459,-6.86123
17513A,Meath,53.5929,-6.81947
17520U,Meath,53.5935,-6.72765
17521W,Meath,53.5749,-6.55599
17560J,Meath,53.6075,-6.77315
17623H,Meath,53.62,-6.92206
17629T,Meath,53.6065,-6.38948
17652O,Meath,53.4258,-6.57945
17705J,Meath,53.6679,-6.27691
17741N,Meath,53.6715,-6.56959
17742P,Meath,53.5242,-6.67195
17821L,Meath,53.4133,-6.83133
17839H,Meath,53.6456,-6.42364
17840P,Meath,53.6461,-6.42488
17856H,Meath,53.6911,-6.41659
17857J,Meath,53.5375,-6.44219
17930Q,Meath,53.5088,-6.53951
17946I,Meath,53.8509,-6.91359
17947K,Meath,53.5122,-6.8753
17964K,Meath,53.5898,-6.50077
17969U,Meath,53.654,-6.6902
17986U,Meath,53.6343,-6.75043
18016O,Meath,53.5326,-6.96998
18037W,Meath,53.7818,-6.62195
18040L,Meath,53.7129,-6.53689
18044T,Meath,53.632,-6.26416
18051Q,Meath,53.4521,-6.72644
18106P,Meath,53.6042,-6.59792
18132Q,Meath,53.7612,-6.84009
18169Q,Meath,53.4682,-6.53375
18174J,Meath,53.7201,-6.78881
18195R,Meath,53.5897,-6.33458
18344I,Meath,53.4746,-6.68084
18358T,Meath,53.7652,-7.22936
18413B,Meath,53.6431,-6.35172
18429Q,Meath,53.5597,-6.98214
18448U,Meath,53.4763,-6.50253
18453N,Meath,53.4853,-6.82563
18500T,Meath,53.6745,-6.37234
18762D,Meath,53.708,-6.27524
18767N,Meath,53.708,-6.27476
18887A,Meath,53.4377,-6.62118
19018A,Meath,53.4898,-6.74237
19253K,Meath,53.7317,-6.70902
19292U,Meath,53.7779,-6.71513
19300Q,Meath,53.3969,-7.12096
19476H,Meath,53.6624,-6.67735
19486K,Meath,53.5056,-6.3999
19671F,Meath,53.6592,-6.684
19725C,Meath,53.644,-6.68117
19768U,Meath,53.5158,-6.39779
19779C,Meath,53.5047,-6.38593
19813W,Meath,53.5716,-6.90425
19867W,Meath,53.5137,-6.54234
20017F,Meath,53.689,-6.24109
20032B,Meath,53.4194,-6.46946
20033D,Meath,53.4186,-6.47026
20051F,Meath,53.5529,-6.76878
20082Q,Meath,53.4148,-6.47268
20164S,Meath,53.6449,-6.69628
20179I,Meath,53.6429,-6.65003
20180Q,Meath,53.6649,-6.69549
20191V,Meath,53.4183,-6.47713
20200T,Meath,53.5022,-6.46409
20215J,Meath,53.5026,-6.45249
20216L,Meath,53.6915,-6.24571
20258E,Meath,53.7118,-6.29716
20352T,Meath,53.6399,-6.67023
20382F,Meath,53.5101,-6.40964
20396Q,Meath,53.5109,-6.3979
00359V,Monaghan,54.2455,-6.97574
00373P,Monaghan,54.3563,-7.02345
05501A,Monaghan,53.9591,-6.64834
06028F,Monaghan,54.117,-7.01403
06117E,Monaghan,54.129,-6.82977
07751K,Monaghan,54.2509,-6.97142
09186P,Monaghan,54.2162,-7.11072
10282S,Monaghan,54.1957,-6.93963
10429W,Monaghan,54.1154,-7.01207
10751E,Monaghan,54.1945,-6.84925
13632L,Monaghan,54.083,-6.70268
13811L,Monaghan,53.9912,-6.85715
14071C,Monaghan,53.9517,-6.77655
15142E,Monaghan,54.0127,-6.68793
15143G,Monaghan,54.0289,-6.75159
15329U,Monaghan,53.9775,-6.71393
15654I,Monaghan,54.3678,-6.96415
16129R,Monaghan,54.1911,-6.98912
16202B,Monaghan,54.1181,-6.7406
16319W,Monaghan,54.119,-6.73963
16769H,Monaghan,54.1721,-7.05713
16842O,Monaghan,54.1598,-6.7853
16923O,Monaghan,54.2804,-7.06252
16954C,Monaghan,54.2168,-6.8942
16968N,Monaghan,53.9544,-6.82255
17099Q,Monaghan,53.9749,-6.71291
17126Q,Monaghan,54.124,-7.24773
17150N,Monaghan,54.2467,-6.97515
17686I,Monaghan,54.1152,-6.73324
17735S,Monaghan,54.0583,-6.6991
17776J,Monaghan,54.1377,-7.31119
18023L,Monaghan,54.065,-6.74711
18028V,Monaghan,54.3172,-6.96207
18234B,Monaghan,54.1447,-6.69483
18256L,Monaghan,54.2775,-6.90489
18401R,Monaghan,54.3076,-6.898
18482U,Monaghan,54.2024,-7.16422
18494E,Monaghan,54.2455,-6.97574
18539A,Monaghan,54.216,-6.85013
18820O,Monaghan,54.0272,-6.61653
19036C,Monaghan,54.262,-6.8752
19162H,Monaghan,54.2176,-7.04026
19251G,Monaghan,54.0031,-6.57793
19362P,Monaghan,54.3992,-7.02324
19364T,Monaghan,54.1639,-7.14085
19434O,Monaghan,54.0716,-6.94752
19469K,Monaghan,54.0784,-6.84495
19703P,Monaghan,54.104,-7.13591
19736H,Monaghan,54.0109,-6.82
19737J,Monaghan,54.1332,-6.73121
19738L,Monaghan,54.2978,-7.01528
19780K,Monaghan,53.9214,-6.71082
19857T,Monaghan,53.9785,-6.71463
19884W,Monaghan,54.1301,-6.89661
19936P,Monaghan,54.2472,-6.97453
20055N,Monaghan,54.1795,-7.18142
20067U,Monaghan,54.2957,-7.15044
20120V,Monaghan,54.184,-7.22767
20174V,Monaghan,54.1304,-6.89805
20246U,Monaghan,54.2948,-6.93389
20327U,Monaghan,54.1235,-6.7429
20337A,Monaghan,54.331,-6.99319
02413L,Offaly,53.1377,-7.80654
03220F,Offaly,53.0928,-7.909
07191V,Offaly,53.2214,-7.57982
07949I,Offaly,53.1001,-7.91362
09191I,Offaly,53.2342,-7.32163
10353P,Offaly,53.273,-7.48071
11203B,Offaly,53.0694,-7.7851
12294M,Offaly,53.1725,-8.01882
12343W,Offaly,52.9815,-7.9173
12370C,Offaly,53.0903,-7.91163
13118U,Offaly,53.342,-7.60327
13191H,Offaly,53.252,-7.91657
15325M,Offaly,53.2624,-7.0854
15395K,Offaly,53.1931,-7.6251
15638K,Offaly,53.3407,-7.07056
15656M,Offaly,53.2875,-7.56184
15923J,Offaly,53.1563,-7.27254
15983E,Offaly,53.208,-7.09379
16013V,Offaly,53.3384,-7.05867
16435B,Offaly,53.325,-7.72581
16620T,Offaly,53.2928,-7.28843
16802C,Offaly,53.0984,-7.71528
16928B,Offaly,53.2774,-7.48919
16990G,Offaly,53.3115,-7.80796
17003A,Offaly,52.8795,-7.95231
17031F,Offaly,53.2158,-7.4486
17069H,Offaly,53.2771,-7.71184
17188P,Offaly,53.3242,-7.98717
17336E,Offaly,52.915,-7.91111
17508H,Offaly,53.3306,-7.50829
17523D,Offaly,52.9752,-7.83001
17540D,Offaly,53.3789,-7.66087
17616K,Offaly,53.2325,-7.22069
17637S,Offaly,53.2659,-7.33879
17746A,Offaly,53.2528,-7.54119
17753U,Offaly,53.1905,-7.77343
17827A,Offaly,53.1606,-7.19656
18057F,Offaly,53.2715,-7.49913
18068K,Offaly,53.3931,-7.58194
18115Q,Offaly,53.1865,-7.2813
18157J,Offaly,53.1869,-7.98345
18267Q,Offaly,53.0799,-7.89532
18328K,Offaly,53.3559,-7.14883
18331W,Offaly,52.9475,-7.90905
18335H,Offaly,53.3393,-7.19689
18364O,Offaly,53.3395,-7.06195
18399K,Offaly,53.174,-7.69534
18406E,Offaly,53.3414,-7.60821
18524K,Offaly,53.2721,-7.4998
18537T,Offaly,53.02,-7.75681
18690E,Offaly,53.3404,-7.27693
18777Q,Offaly,53.2196,-7.79643
18795S,Offaly,53.2342,-7.64156
18797W,Offaly,53.2813,-7.49404
19354Q,Offaly,53.3253,-7.36672
19638H,Offaly,53.0119,-7.84086
19713S,Offaly,53.281,-7.4951
19990V,Offaly,53.269,-7.47585
20068W,Offaly,53.2247,-7.88524
20189L,Offaly,53.2915,-7.50289
20267F,Offaly,53.3509,-7.05302
20273A,Offaly,53.2819,-7.62207
20289P,Offaly,53.2719,-7.83004
20332N,Offaly,53.3398,-7.05607
20387P,Offaly,53.1745,-7.7246
01086R,Roscommon,53.765,-8.48305
01607T,Roscommon,53.3751,-8.00451
01866U,Roscommon,53.4696,-8.27313
04800F,Roscommon,53.8325,-7.92675
05220P,Roscommon,53.9409,-8.16532
06100K,Roscommon,54.05,-8.13578
10967E,Roscommon,53.7322,-8.55203
11201U,Roscommon,53.8708,-8.02808
11242L,Roscommon,53.7809,-8.58148
11466K,Roscommon,53.4998,-8.1595
11943S,Roscommon,53.7411,-8.63492
12003V,Roscommon,53.4125,-8.09635
12754U,Roscommon,53.4109,-7.98686
12964I,Roscommon,53.5883,-8.12085
13047A,Roscommon,53.8538,-8.63032
13198V,Roscommon,53.7662,-8.48577
13262E,Roscommon,53.6527,-8.25134
13498K,Roscommon,53.7832,-7.92003
13757I,Roscommon,53.7707,-8.43783
13839K,Roscommon,53.4824,-8.10637
13879W,Roscommon,53.7963,-7.97907
13978B,Roscommon,54.0679,-8.19877
14056G,Roscommon,53.5301,-8.28149
14356S,Roscommon,53.6586,-8.33846
14684M,Roscommon,53.8716,-8.12162
14925I,Roscommon,53.9017,-8.307
14966W,Roscommon,53.6353,-8.11418
15043C,Roscommon,53.9723,-8.29426
15045G,Roscommon,53.781,-8.10367
15083O,Roscommon,53.6278,-8.19597
15255R,Roscommon,53.8623,-8.54312
15308M,Roscommon,53.5676,-8.24836
15413J,Roscommon,53.4527,-8.08798
15425Q,Roscommon,53.8465,-8.4841
15531P,Roscommon,53.3584,-8.21256
15543W,Roscommon,53.8857,-8.50307
15545D,Roscommon,53.7512,-8.34641
15557K,Roscommon,53.686,-8.75174
15584N,Roscommon,53.936,-8.31441
15614T,Roscommon,53.4009,-8.14543
15628H,Roscommon,53.9751,-8.28905
15664L,Roscommon,53.715,-8.6745
15980V,Roscommon,53.3505,-8.06052
16009H,Roscommon,53.7484,-8.65172
16034G,Roscommon,53.7754,-8.24221
16127N,Roscommon,53.8078,-8.67519
16291D,Roscommon,53.7158,-8.1028
16334S,Roscommon,53.7185,-8.40955
16427C,Roscommon,53.366,-7.93251
16815L,Roscommon,53.6895,-8.30014
16816N,Roscommon,53.3592,-8.1534
17054R,Roscommon,53.3888,-8.05281
17094G,Roscommon,53.8093,-8.31044
17100V,Roscommon,53.525,-8.14436
17255E,Roscommon,53.6256,-8.19144
17266J,Roscommon,53.8345,-8.37486
17329H,Roscommon,53.9739,-8.29863
17353E,Roscommon,53.8156,-8.10222
17492S,Roscommon,53.775,-8.38538
17571O,Roscommon,53.8966,-8.03143
17622F,Roscommon,54.0927,-8.11465
17709R,Roscommon,54.0166,-8.1068
17748E,Roscommon,53.8697,-8.40904
17808T,Roscommon,53.7767,-8.11161
17849K,Roscommon,53.6843,-8.08118
17904P,Roscommon,53.916,-8.64488
18005J,Roscommon,53.4324,-8.22306
18012G,Roscommon,53.9082,-8.22026
18027T,Roscommon,53.8054,-8.2298
18061T,Roscommon,53.6759,-7.99918
18116S,Roscommon,53.7003,-8.01134
18165I,Roscommon,53.5086,-8.2251
18182I,Roscommon,53.9147,-8.3782
18194P,Roscommon,53.6134,-8.28695
18272J,Roscommon,53.5423,-8.0407
18395C,Roscommon,53.426,-8.02076
18432F,Roscommon,53.7846,-8.03986
18454P,Roscommon,54.0286,-8.27712
18536R,Roscommon,53.8213,-8.55549
18571T,Roscommon,53.5741,-8.09083
18626S,Roscommon,53.5183,-8.03358
18729F,Roscommon,53.4713,-8.17502
18742U,Roscommon,53.6608,-8.15325
19257S,Roscommon,54.0785,-8.07872
19368E,Roscommon,53.3259,-8.10065
19534S,Roscommon,53.4643,-8.00705
19720P,Roscommon,53.9897,-8.16404
19809I,Roscommon,53.8464,-8.18976
19815D,Roscommon,53.7027,-8.20509
19980S,Roscommon,53.8995,-8.58912
20126K,Roscommon,53.6209,-8.20126
02013S,Sligo,54.1993,-8.36644
03924S,Sligo,54.2529,-8.95866
04487E,Sligo,54.0787,-8.65947
04802J,Sligo,54.0989,-8.78079
09691F,Sligo,54.2746,-8.92307
12140I,Sligo,54.2152,-8.99193
12171T,Sligo,54.1646,-9.07584
12537M,Sligo,54.0021,-8.53662
12767G,Sligo,53.9714,-8.41156
13196R,Sligo,54.1298,-8.39731
13242V,Sligo,54.0669,-8.86488
13831R,Sligo,54.0272,-8.70404
13940W,Sligo,54.213,-9.08697
14051T,Sligo,54.1776,-9.02668
14636B,Sligo,54.2446,-8.47419
15004P,Sligo,54.2671,-8.60123
15217J,Sligo,54.1286,-8.39517
15337T,Sligo,54.4552,-8.39634
15342M,Sligo,54.0481,-8.44754
15378K,Sligo,54.1667,-8.61922
15431L,Sligo,54.0384,-8.55289
15496Q,Sligo,54.2564,-9.0297
15571E,Sligo,54.2282,-9.02854
16044J,Sligo,54.1927,-8.41201
16136O,Sligo,54.4303,-8.45234
16492N,Sligo,54.2753,-9.02469
16781U,Sligo,54.1408,-8.43552
16793E,Sligo,54.1857,-8.4884
16927W,Sligo,54.0552,-8.24555
17021C,Sligo,54.3471,-8.62009
17277O,Sligo,54.2805,-8.46595
17283J,Sligo,54.1009,-8.24455
17599N,Sligo,54.2295,-8.63373
17641J,Sligo,54.3078,-8.56024
17718S,Sligo,54.1817,-8.49169
17725P,Sligo,54.4109,-8.49292
17774F,Sligo,54.1332,-8.56174
17838F,Sligo,54.2122,-8.51702
17967Q,Sligo,53.9824,-8.46582
18029A,Sligo,54.0547,-8.77477
18053U,Sligo,54.1663,-8.39392
18298E,Sligo,54.0262,-8.47514
18334F,Sligo,54.1014,-8.45568
18366S,Sligo,54.4069,-8.40653
18543O,Sligo,54.0774,-8.37836
18575E,Sligo,54.393,-8.52536
18580U,Sligo,54.2591,-8.77393
18592E,Sligo,54.2444,-8.81514
18715R,Sligo,54.2516,-8.67883
18979F,Sligo,54.2704,-8.49135
19389M,Sligo,54.0049,-8.77061
19392B,Sligo,53.9436,-8.49357
19408N,Sligo,54.3169,-8.47818
19416M,Sligo,54.1828,-8.49086
19495L,Sligo,54.2722,-8.46532
19635B,Sligo,54.2443,-8.53953
19688W,Sligo,54.2412,-8.88385
19826I,Sligo,54.281,-8.48321
19910U,Sligo,54.2698,-8.46544
19942K,Sligo,54.2856,-8.39546
19964U,Sligo,54.0914,-8.51286
19974A,Sligo,54.267,-8.47608
19985F,Sligo,54.2683,-8.46954
20019J,Sligo,54.0535,-8.72489
20044I,Sligo,54.2647,-8.50127
20113B,Sligo,54.0536,-8.60342
20385L,Sligo,54.0393,-8.83183
00590A,Tipperary,52.7477,-7.95727
01569O,Tipperary,52.6879,-7.90647
01594N,Tipperary,52.9597,-7.79915
02428B,Tipperary,52.6945,-8.32157
04005G,Tipperary,52.6321,-7.7792
04067F,Tipperary,52.7105,-8.41051
06658P,Tipperary,52.9305,-8.23818
09190G,Tipperary,52.8017,-8.36698
11367I,Tipperary,52.882,-8.3525
11384I,Tipperary,52.8202,-7.97824
12124K,Tipperary,52.6868,-8.23675
12540B,Tipperary,52.8296,-7.76501
13867P,Tipperary,52.9541,-7.79315
13991Q,Tipperary,52.7462,-8.43637
14460N,Tipperary,52.8286,-7.87016
15560W,Tipperary,52.8681,-8.09436
15696B,Tipperary,52.7915,-8.23766
15778D,Tipperary,52.8671,-8.19824
15795D,Tipperary,52.7993,-7.82923
16112A,Tipperary,52.8657,-8.20005
16166A,Tipperary,53.0628,-7.97097
16211C,Tipperary,52.6725,-7.70995
16250M,Tipperary,52.7873,-7.72241
16276H,Tipperary,52.8935,-8.25067
16344V,Tipperary,52.8673,-8.19997
16727O,Tipperary,52.8659,-8.19363
16810B,Tipperary,52.8788,-8.29754
16835R,Tipperary,52.7476,-7.95847
16933R,Tipperary,52.7558,-7.83235
16979S,Tipperary,52.7945,-7.83199
17179O,Tipperary,53.0891,-7.93825
17237C,Tipperary,52.9878,-8.22563
17244W,Tipperary,53.1269,-8.10303
17296S,Tipperary,52.7669,-8.38143
17498H,Tipperary,52.8472,-8.03236
17512V,Tipperary,53.117,-8.0273
17543J,Tipperary,52.9435,-8.0442
17608L,Tipperary,53.0938,-8.12191
17634M,Tipperary,52.6812,-7.81739
17640H,Tipperary,53.0549,-8.20474
17653Q,Tipperary,52.7866,-7.7862
17679L,Tipperary,52.7712,-8.00812
17681V,Tipperary,52.7351,-7.71439
17703F,Tipperary,52.9363,-8.15432
17712G,Tipperary,52.8322,-8.11163
17731K,Tipperary,52.7972,-7.82697
17850S,Tipperary,53.0107,-8.18831
17940T,Tipperary,52.7134,-8.39975
18087O,Tipperary,52.8171,-8.15371
18135W,Tipperary,52.681,-7.8109
18164G,Tipperary,52.8284,-8.3038
18207V,Tipperary,52.8107,-8.4364
18213Q,Tipperary,52.7074,-7.84293
18285S,Tipperary,52.6906,-8.14573
18322V,Tipperary,52.7683,-7.8955
18343G,Tipperary,52.6372,-7.73484
18345K,Tipperary,52.9386,-7.7836
18350D,Tipperary,52.7171,-7.9099
18369B,Tipperary,52.8937,-8.13612
18379E,Tipperary,52.7896,-7.91083
18396E,Tipperary,52.7141,-7.76078
18435L,Tipperary,52.949,-7.79812
18443K,Tipperary,53.0403,-8.08511
18465U,Tipperary,52.8308,-8.23762
18557C,Tipperary,52.7734,-8.07786
18559G,Tipperary,52.7878,-8.13924
18775M,Tipperary,52.6399,-7.86918
19422H,Tipperary,52.9383,-8.02854
19640R,Tipperary,52.8967,-7.81231
19677R,Tipperary,52.701,-8.02101
19874T,Tipperary,52.6814,-7.80712
19937R,Tipperary,52.8684,-8.20713
19968F,Tipperary,52.679,-7.82316
20062K,Tipperary,52.9917,-8.12805
00606M,Tipperary,52.5106,-8.22365
01285A,Tipperary,52.4778,-8.15803
01862M,Tipperary,52.4774,-8.1586
02237R,Tipperary,52.5416,-7.81567
02670I,Tipperary,52.5719,-7.89208
04075E,Tipperary,52.5272,-7.70721
04620D,Tipperary,52.4934,-8.02104
05144C,Tipperary,52.4406,-7.88345
06789H,Tipperary,52.4173,-7.70334
07048Q,Tipperary,52.5585,-7.50032
07245S,Tipperary,52.5113,-8.27714
07358I,Tipperary,52.3066,-8.14834
08316U,Tipperary,52.5171,-8.17866
09432E,Tipperary,52.479,-8.16164
09967U,Tipperary,52.4023,-7.39277
10120P,Tipperary,52.3739,-7.91859
10533R,Tipperary,52.4072,-7.96461
11453B,Tipperary,52.6115,-7.58572
11470B,Tipperary,52.6247,-7.54344
11605V,Tipperary,52.4676,-7.83063
11872V,Tipperary,52.3475,-7.41087
12180U,Tipperary,52.348,-7.71732
12349L,Tipperary,52.3537,-7.7036
13210I,Tipperary,52.589,-7.54134
13404V,Tipperary,52.4423,-7.88087
13678M,Tipperary,52.3959,-7.60513
13847J,Tipperary,52.6289,-8.11977
14008S,Tipperary,52.5251,-8.08517
14181J,Tipperary,52.4998,-7.43482
14426N,Tipperary,52.5443,-8.00313
14791N,Tipperary,52.5835,-8.16398
15008A,Tipperary,52.4701,-8.24938
15157R,Tipperary,52.4435,-8.229
15299O,Tipperary,52.6028,-7.86651
15362S,Tipperary,52.5136,-7.49984
15970S,Tipperary,52.5784,-7.8372
16059W,Tipperary,52.4633,-8.34745
16077B,Tipperary,52.3088,-7.88022
16111V,Tipperary,52.4495,-7.63325
16725K,Tipperary,52.3492,-7.41387
16728Q,Tipperary,52.3521,-7.71134
16729S,Tipperary,52.3564,-7.69973
17114J,Tipperary,52.4987,-7.97779
17140K,Tipperary,52.6369,-7.60774
17276M,Tipperary,52.4779,-8.16288
17332T,Tipperary,52.3536,-7.71376
17486A,Tipperary,52.41,-7.75474
17511T,Tipperary,52.5657,-7.76008
17542H,Tipperary,52.3728,-7.78296
17580P,Tipperary,52.6746,-7.60254
17620B,Tipperary,52.6163,-8.00325
17621D,Tipperary,52.5893,-7.98284
17665A,Tipperary,52.6183,-7.63744
17694H,Tipperary,52.4745,-7.5962
17779P,Tipperary,52.3716,-7.66291
17783G,Tipperary,52.3117,-8.07732
17799V,Tipperary,52.5553,-8.21064
18062V,Tipperary,52.3386,-7.82362
18085K,Tipperary,52.374,-7.46543
18326G,Tipperary,52.4035,-7.53663
18459C,Tipperary,52.4857,-7.50318
18486F,Tipperary,52.363,-7.58085
18501V,Tipperary,52.4451,-7.47141
18512D,Tipperary,52.5394,-8.13973
18528S,Tipperary,52.5658,-8.11168
18538V,Tipperary,52.2712,-7.80749
18582B,Tipperary,52.3259,-7.98511
18716T,Tipperary,52.3748,-7.9197
19294B,Tipperary,52.4113,-8.22557
19305D,Tipperary,52.4189,-8.01127
19356U,Tipperary,52.5698,-7.67458
19421F,Tipperary,52.4334,-8.27924
19540N,Tipperary,52.2701,-7.98942
19645E,Tipperary,52.3601,-7.71578
19689B,Tipperary,52.4473,-8.06488
19690J,Tipperary,52.6022,-7.95827
19692N,Tipperary,52.5096,-7.88446
19696V,Tipperary,52.5091,-7.88446
19879G,Tipperary,52.517,-7.58714
19880O,Tipperary,52.5168,-7.58696
20007C,Tipperary,52.3517,-7.7124
20027I,Tipperary,52.4713,-8.14904
20085W,Tipperary,52.3436,-7.42553
20129Q,Tipperary,52.2708,-8.09639
20155R,Tipperary,52.5099,-7.88452
20355C,Tipperary,52.4686,-7.69807
12007G,Waterford,52.2647,-7.10105
12535I,Waterford,52.2469,-7.1124
15046I,Waterford,52.2593,-7.11353
16976M,Waterford,52.2539,-7.10563
17351A,Waterford,52.2253,-7.06513
18235D,Waterford,52.2679,-7.09818
18462O,Waterford,52.2427,-7.10519
18509O,Waterford,52.2597,-7.12385
18681D,Waterford,52.253,-7.10477
